,ensembl_gene_id,prev_symbol,symbol
281,ENSG00000166106,,ADAMTS15
282,ENSG00000145536,,ADAMTS16
283,ENSG00000140470,,ADAMTS17
284,ENSG00000140873,ADAMTS21,ADAMTS18
285,ENSG00000145808,,ADAMTS19
286,ENSG00000173157,,ADAMTS20
287,ENSG00000178031,C9orf94,ADAMTSL1
288,ENSG00000197859,,ADAMTSL2
289,ENSG00000156218,,ADAMTSL3
290,ENSG00000143382,TSRC1,ADAMTSL4
291,ENSG00000185761,THSD6,ADAMTSL5
292,ENSG00000105963,CENTA1,ADAP1
293,ENSG00000184060,CENTA2,ADAP2
294,ENSG00000160710,IFI4|G1P1,ADAR
295,ENSG00000197381,,ADARB1
296,ENSG00000185736,,ADARB2
297,ENSG00000065457,,ADAT1
298,ENSG00000189007,DEADC1,ADAT2
299,ENSG00000213638,,ADAT3
300,ENSG00000063761,,ADCK1
301,ENSG00000133597,,ADCK2
302,ENSG00000173137,,ADCK5
303,ENSG00000164742,DFNB44,ADCY1
304,ENSG00000078295,,ADCY2
305,ENSG00000138031,,ADCY3
306,ENSG00000129467,,ADCY4
307,ENSG00000173175,,ADCY5
308,ENSG00000174233,,ADCY6
309,ENSG00000121281,,ADCY7
310,ENSG00000155897,ADCY3,ADCY8
311,ENSG00000162104,,ADCY9
312,ENSG00000143199,,ADCY10
313,ENSG00000141433,,ADCYAP1
314,ENSG00000078549,,ADCYAP1R1
315,ENSG00000087274,,ADD1
316,ENSG00000075340,,ADD2
317,ENSG00000148700,ADDL,ADD3
318,ENSG00000118492,C6orf103,ADGB
319,ENSG00000197177,GPR123,ADGRA1
320,ENSG00000020181,GPR124,ADGRA2
321,ENSG00000152990,GPR125,ADGRA3
322,ENSG00000181790,BAI1,ADGRB1
323,ENSG00000121753,BAI2,ADGRB2
324,ENSG00000135298,BAI3,ADGRB3
325,ENSG00000111452,GPR133,ADGRD1
326,ENSG00000180264,GPR144,ADGRD2
327,ENSG00000174837,TM7LN3|EMR1,ADGRE1
328,ENSG00000127507,EMR2,ADGRE2
329,ENSG00000131355,EMR3,ADGRE3
330,ENSG00000123146,CD97,ADGRE5
331,ENSG00000153292,GPR110,ADGRF1
332,ENSG00000164393,GPR111,ADGRF2
333,ENSG00000173567,GPR113,ADGRF3
334,ENSG00000153294,GPR115,ADGRF4
335,ENSG00000069122,GPR116,ADGRF5
336,ENSG00000205336,GPR56,ADGRG1
