Unnamed: 0.1,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000198223,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.2933041825380957,2.511260665323343,0,0.5968311919008575,1.0,1.1034448153020302
ENSG00000198225,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1116079072793072,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0338263713517843,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000198286,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9615162568144496,-0.1906656975212485,0,0.5968311919008575,1.0,2.4228558093739654
ENSG00000198298,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1864632186003598,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198300,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.1474538150985105,-0.1906656975212485,0,0.5968311919008575,0.2,-0.2159661787699051
ENSG00000198315,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0699145495160111,-0.1906656975212485,0,0.5968311919008575,0.0,-0.2159661787699051
ENSG00000198346,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1001524876800852,-0.1906656975212485,0,0.5968311919008575,1.0,1.1034448153020302
ENSG00000198354,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0061009664106275,-0.1906656975212485,0,2.244668377953825,0.6,1.1034448153020302
ENSG00000198356,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2988932798674577,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0965960536282408,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000198399,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0141454410332007,-0.1906656975212485,0,1.4207497849273414,1.0,3.742266803445901
ENSG00000198400,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0658042060031628,7.915113391012527,0,0.5968311919008575,1.0,2.4228558093739654
ENSG00000198445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0026572320487398,-0.1906656975212485,0,1.4207497849273414,1.0,-0.2159661787699051
ENSG00000198453,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0540372893880509,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198455,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493163254372741,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000198467,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.651104499819648,-0.1906656975212485,0,0.5968311919008575,1.0,1.1034448153020302
ENSG00000198482,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0692761107106112,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000198483,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1107543080621623,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198502,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1708466958980476,-0.1906656975212485,0,0.5968311919008575,1.0,1.1034448153020302
ENSG00000198521,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0721963635927878,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198535,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4340883992721883,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198542,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0977692071174494,-0.1906656975212485,0,0.5968311919008575,0.5,-0.2159661787699051
ENSG00000198551,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2241195048235318,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198561,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2479358757327023,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000198589,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.089702930383873,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198597,0.1428571428571428,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.209446154908887,-0.1906656975212485,0,3.892505564006793,0.8571428571428572,-0.2159661787699051
ENSG00000198610,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.184530691275305,-0.1906656975212485,0,0.5968311919008575,0.0,-0.2159661787699051
ENSG00000198626,0.0769230769230769,0.0,0.9230769230769232,0.0,0.0,0.0,0.0,0.546335325357644,-0.1906656975212485,0,7.188179936112729,0.923076923076923,3.742266803445901
ENSG00000198642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2013251788970742,-0.1906656975212485,0,0.5968311919008575,1.0,1.1034448153020302
ENSG00000198646,0.2,0.6,0.0,0.2,0.0,0.0,0.0,0.0613630599927104,-0.1906656975212485,0,2.244668377953825,0.0,7.700499785661706
ENSG00000198648,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3966212959667725,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000198668,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0611173381157206,-0.1906656975212485,0,0.5968311919008575,1.0,6.381088791589771
ENSG00000198670,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0768748867665417,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000198691,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1100026600792782,-0.1906656975212485,0,1.4207497849273414,1.0,2.4228558093739654
ENSG00000198704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013165995204983,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000198718,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1110394682687228,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198720,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1352497667597673,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198732,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0468308765933709,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198752,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.2115152218269722,-0.1906656975212485,0,0.5968311919008575,0.5,1.1034448153020302
ENSG00000198753,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2833033925890404,-0.1906656975212485,0,0.5968311919008575,1.0,5.061677797517836
ENSG00000198758,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7863383021733212,-0.1906656975212485,0,1.4207497849273414,1.0,-0.2159661787699051
