gene_name,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000010219,0,0,1,0,0,0,0,0.203210123,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000010244,0,0,0,0,0,0,0,0.304538404,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000010278,0,0,1,0,0,0,0,0.082645397,-0.202937923,0,0.587889345,1,1.586721822
ENSG00000010292,0,0,0,0,0,0,0,0.031439911,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000010295,0,0,1,0,0,0,0,0.75809437,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000010318,0,0,0,1,0,0,0,0.531233759,-0.202937923,0,0.587889345,0,-0.225774203
ENSG00000010319,0,1,0,0,0,0,0,0.102279281,-0.202937923,0,0.587889345,0,-0.225774203
ENSG00000010327,0.25,0,0.25,0.25,0,0,0,1.079918874,-0.202937923,0,2.686413397,0.5,-0.225774203
ENSG00000010379,0.25,0,0.25,0,0,0,0,0.05089379,-0.202937923,0,0.587889345,0.5,1.586721822
ENSG00000010610,0,0,1,0,0,0,0,0.229101964,-0.202937923,0,0.587889345,1,1.586721822
ENSG00000010803,0,0,1,0,0,0,0,0.293322298,-0.202937923,0,0.587889345,1,3.399217848
ENSG00000010818,1,0,0,0,0,0,0,0.247443185,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000010932,0,0,1,0,0,0,0,0.973932132,-0.202937923,0,0.587889345,1,1.586721822
ENSG00000011009,0,0,0.5,0,0,0,0,0.444035901,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000011021,1,0,0,0,0,0,0,0.076642651,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000011028,0.2,0,0.6,0,0,0,0,0.869263574,-0.202937923,0,2.686413397,0.75,-0.225774203
ENSG00000011114,0.666666667,0,0,0.333333333,0,0,0,0.202818266,-0.202937923,0,0.587889345,0,-0.225774203
ENSG00000011198,0.5,0,0,0,0,0,0,0.347623142,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000011243,0,0,1,0,0,0,0,0.563721547,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000011258,0,0,1,0,0,0,0,0.63551303,-0.202937923,0,0.587889345,1,5.211713873
ENSG00000011260,0,0,0,0,0,0,0,0.195561659,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000011275,0,0,1,0,0,0,0,0.597659055,-0.202937923,0,0.587889345,1,1.586721822
ENSG00000011295,0.333333333,0,0,0,0,0,0,0.426868096,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000011304,0.333333333,0,0.666666667,0,0,0,0,0.408171752,-0.202937923,0,1.637151371,0.666666667,-0.225774203
ENSG00000011347,0,0,0,0,0,0,0,0.967362359,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000011376,1,0,0,0,0,0,0,0.424534416,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000011405,0,0,1,0,0,0,0,0.684961162,-0.202937923,0,1.637151371,1,-0.225774203
ENSG00000011422,0,0,1,0,0,0,0,0.837437354,-0.202937923,0,0.587889345,1,1.586721822
ENSG00000011426,0.5,0,0.5,0,0,0,0,0.980300052,-0.202937923,0,0.587889345,0.5,1.586721822
ENSG00000011451,0,0,0.5,0,0,0,0,0.160632069,-0.202937923,0,0.587889345,1,3.399217848
ENSG00000011454,0,0,0,0,0,0,0,0.346185651,-0.202937923,0,-0.461372682,0,-0.225774203
