gene_name,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000115942,0,0,1,0,0,0,0,0.107489267,1.588566547,0,0.205072971,1,-0.303404999
ENSG00000115966,0,0,1,0,0,0,0,0.208153923,3.400840925,0,0.990657107,1,0.639750009
ENSG00000115970,0.5,0,0.5,0,0,0,0,0.138694385,-0.223707831,0,0.205072971,0.5,-0.303404999
ENSG00000115977,1,0,0,0,0,0,0,0.24578571,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000115993,0,1,0,0,0,0,0,0.222205906,-0.223707831,0,0.205072971,0,-0.303404999
ENSG00000116001,0.5,0,0.5,0,0,0,0,0.297351481,-0.223707831,0,0.205072971,0.5,-0.303404999
ENSG00000116005,0,0,1,0,0,0,0,0.325744172,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000116016,0,0,0,1,0,0,0,0.656207182,-0.223707831,0,0.205072971,0,3.469215031
ENSG00000116017,0,0,1,0,0,0,0,0.37736545,-0.223707831,0,0.205072971,1,0.639750009
ENSG00000116031,0,0.5,0.5,0,0,0,0,0.560440276,-0.223707831,0,0.990657107,1,-0.303404999
ENSG00000116032,0.5,0,0,0,0.5,0,0,0.080825565,-0.223707831,0,0.205072971,0,2.526060024
ENSG00000116039,0,0,0.5,0.5,0,0,0,0.388012025,1.588566547,0,0.990657107,1,2.526060024
ENSG00000116044,0,0,1,0,0,0,0,0.618381479,-0.223707831,0,0.205072971,1,1.582905016
ENSG00000116062,0.333333333,0,0.333333333,0.166666667,0,0,0,0.019841846,-0.223707831,0,1.776241244,0.5,1.582905016
ENSG00000116095,0,0,0,1,0,0,0,0.129894972,-0.223707831,0,0.205072971,0,0.639750009
ENSG00000116106,0.25,0,0.5,0,0,0,0,0.363639583,-0.223707831,0,0.205072971,0.666666667,2.526060024
ENSG00000116117,0,0,1,0,0,0,0,0.070688468,-0.223707831,0,1.776241244,1,-0.303404999
ENSG00000116120,0.333333333,0.333333333,0.333333333,0,0,0,0,0.388363953,-0.223707831,0,0.990657107,0.5,-0.303404999
ENSG00000116127,0.285714286,0,0.428571429,0.142857143,0,0,0,0.128581788,-0.223707831,0,2.56182538,0.6,2.526060024
ENSG00000116128,0,0,1,0,0,0,0,0.361403642,-0.223707831,0,0.990657107,1,1.582905016
ENSG00000116132,0,0,0.5,0,0,0,0,0.616940371,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000116133,0,0,1,0,0,0,0,0.7036903,-0.223707831,0,0.990657107,1,-0.303404999
ENSG00000116138,0,0,0.5,0,0,0,0,0.135445115,-0.223707831,0,0.205072971,1,0.639750009
ENSG00000116141,1,0,0,0,0,0,0,0.018375816,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000116147,0.333333333,0,0.666666667,0,0,0,0,0.006161642,3.400840925,0,0.990657107,0.666666667,1.582905016
ENSG00000116151,0,0,1,0,0,0,0,0.102962613,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000116157,0,0,0,0,0,0,0,0.88796129,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000116161,0,0,1,0,0,0,0,0.089974527,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000116171,0,0,0.4,0,0,0,0,0.063531318,-0.223707831,0,0.990657107,1,-0.303404999
ENSG00000116176,0,0,1,0,0,0,0,0.3270688,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000116183,0.2,0,0.8,0,0,0,0,0.069427197,-0.223707831,0,2.56182538,0.8,-0.303404999
ENSG00000116198,0,0,1,0,0,0,0,0.132234789,-0.223707831,0,1.776241244,1,-0.303404999
ENSG00000116213,0.666666667,0,0,0,0,0,0,0.207086085,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000116218,1,0,0,0,0,0,0,0.010263143,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000116237,0.5,0,0.5,0,0,0,0,0.018099958,-0.223707831,0,0.205072971,0.5,-0.303404999
ENSG00000116254,0.142857143,0,0.857142857,0,0,0,0,0.281621854,-0.223707831,0,3.347409517,0.857142857,-0.303404999
ENSG00000116260,0,0,1,0,0,0,0,0.965272864,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000116266,0,0,1,0,0,0,0,0.138461996,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000116285,0,0,1,0,0,0,0,0.361693743,-0.223707831,0,0.205072971,1,0.639750009
ENSG00000116288,0,0,1,0,0,0,0,0.206489249,-0.223707831,0,0.205072971,1,1.582905016
ENSG00000116299,0,0,1,0,0,0,0,0.617197386,-0.223707831,0,0.990657107,1,-0.303404999
ENSG00000116329,0,0,0.5,0,0.5,0,0,0.0342216,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000116337,0,0,1,0,0,0,0,0.034438669,-0.223707831,0,0.990657107,1,-0.303404999
ENSG00000116350,0,0.5,0.5,0,0,0,0,0.142305427,-0.223707831,0,0.990657107,1,-0.303404999
ENSG00000116353,0,0,0,0,0,0,0,0.248807723,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000116396,0.5,0,0.5,0,0,0,0,0.114581965,-0.223707831,0,0.205072971,0.5,0.639750009
ENSG00000116406,0.666666667,0,0.333333333,0,0,0,0,0.453007152,-0.223707831,0,0.205072971,0.333333333,-0.303404999
ENSG00000116455,0.5,0,0.5,0,0,0,0,0.324959869,-0.223707831,0,0.205072971,0.5,-0.303404999
ENSG00000116459,0,0,0,1,0,0,0,0.084372235,-0.223707831,0,0.205072971,0,0.639750009
ENSG00000116478,0,0,1,0,0,0,0,0.348508199,3.400840925,0,0.205072971,1,25.1617802
ENSG00000116489,0,0,1,0,0,0,0,0.124031562,-0.223707831,0,0.205072971,1,1.582905016
ENSG00000116497,0,0,1,0,0,0,0,0.040836035,-0.223707831,0,0.990657107,1,-0.303404999
ENSG00000116514,0,0,1,0,0,0,0,0.050934389,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000116525,0.333333333,0,0.666666667,0,0,0,0,0.343922107,-0.223707831,0,0.990657107,0.666666667,-0.303404999
ENSG00000116539,0.25,0.375,0.25,0.125,0,0,0,0.277344149,-0.223707831,0,4.132993654,0.5,-0.303404999
ENSG00000116544,0,0,1,0,0,0,0,0.0143936,-0.223707831,0,0.990657107,1,0.639750009
ENSG00000116560,0,0,0,0,0,0,0,0.45441924,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000116580,0.285714286,0,0.142857143,0.142857143,0.142857143,0,0,0.031675742,-0.223707831,0,0.990657107,0.333333333,-0.303404999
